group,task,task_type,comfort_level,confidence,position_on_scale,tied_with,source_image
1,Write exam questions,teacher,1,high,1.0,0,group_01.HEIC
1,Give feedback on drafts,teacher,2,low,2.42,0,group_01.HEIC
1,Assign the grade,teacher,4,low,3.51,1,group_01.HEIC
1,Generate synthetic data,teacher,4,low,3.53,1,group_01.HEIC
1,Draft a rec letter,teacher,5,medium,4.66,0,group_01.HEIC
1,Design the rubric,teacher,6,medium,5.75,0,group_01.HEIC
1,Write the problem set + solutions,teacher,7,medium,6.74,0,group_01.HEIC
1,Detect AI use,teacher,8,low,7.62,0,group_01.HEIC
1,Clean the class dataset,teacher,10,high,10.0,0,group_01.HEIC
2,Draft the essay,student,1,high,1.0,1,group2.HEIC
2,Assign the grade,teacher,1,high,1.11,1,group2.HEIC
2,Outline the essay,student,2,medium,1.59,2,group2.HEIC
2,Detect AI use,teacher,2,medium,1.92,2,group2.HEIC
2,Give feedback on drafts,teacher,2,medium,1.63,2,group2.HEIC
2,Run + interpret the analysis,student,3,medium,2.75,2,group2.HEIC
2,Design the rubric,teacher,3,medium,2.79,2,group2.HEIC
2,Write exam questions,teacher,3,medium,2.67,2,group2.HEIC
2,Explain a concept,student,5,high,4.98,2,group2.HEIC
2,Draft a rec letter,teacher,5,high,5.0,2,group2.HEIC
2,Generate synthetic data,teacher,5,high,5.17,2,group2.HEIC
2,Make practice problems,student,6,high,6.06,0,group2.HEIC
2,Code the interview transcripts,student,7,medium,7.23,0,group2.HEIC
2,Debug the code,student,9,low,9.4,0,group2.HEIC
2,Clean the class dataset,teacher,10,high,10.0,1,group2.HEIC
2,Write the problem set + solutions,teacher,10,high,9.98,1,group2.HEIC
3,Draft the essay,student,1,high,1.0,1,group-3.HEIC
3,Detect AI use,teacher,1,high,1.11,1,group-3.HEIC
3,Run + interpret the analysis,student,2,low,1.61,0,group-3.HEIC
3,Give feedback on drafts,teacher,2,medium,2.02,0,group-3.HEIC
3,Outline the essay,student,3,high,2.98,0,group-3.HEIC
3,Summarize the reading,student,3,low,3.55,1,group-3.HEIC
3,Assign the grade,teacher,3,low,3.42,1,group-3.HEIC
3,Find + check sources,student,6,high,6.12,0,group-3.HEIC
3,Debug the code,student,7,low,7.68,2,group-3.HEIC
3,Design the rubric,teacher,7,low,7.24,2,group-3.HEIC
3,Write exam questions,teacher,7,low,6.52,0,group-3.HEIC
3,Write the problem set + solutions,teacher,7,low,7.46,2,group-3.HEIC
3,Clean the class dataset,teacher,8,high,8.05,0,group-3.HEIC
3,Code the interview transcripts,student,9,low,9.43,0,group-3.HEIC
3,Explain a concept,student,9,medium,8.76,1,group-3.HEIC
3,Draft a rec letter,teacher,9,medium,8.61,1,group-3.HEIC
3,Make practice problems,student,10,medium,9.79,1,group-3.HEIC
3,Generate synthetic data,teacher,10,high,10.0,1,group-3.HEIC
4,Draft the essay,student,1,medium,1.38,0,grp4.HEIC
